datadate,Seed 42,Seed 7,Seed 25,Seed 14
2019-03-19,1723760.5690356283,1485298.169669737,1192527.1965505653,1291677.5570288673
2019-03-20,1729087.8096161871,1497617.3313962352,1192353.3532435107,1290078.3757329364
2019-03-21,1754832.7163687735,1507677.7709187192,1203926.6862292527,1300569.6400205796
2019-03-22,1725428.4480792074,1485327.968150053,1193937.6647788328,1291067.1830907562
2019-03-25,1730061.7440644293,1489588.51054193,1200536.30719922,1292900.130332786
2019-03-26,1743147.7294579537,1491483.2440504606,1209142.9249573725,1305836.464223364
2019-03-27,1742848.6441765814,1479460.0506356256,1211615.985445691,1307790.1703233477
2019-03-28,1753777.0550108938,1484095.2237519068,1217293.1732823031,1314411.437522622
2019-03-29,1772324.9444304495,1494358.589968077,1227258.2035265996,1325825.097914881
2019-04-01,1787604.2962246924,1510012.308712819,1238685.0417888658,1332219.8682780329
2019-04-02,1785904.329727271,1512145.4824016884,1239350.8942056785,1329227.2685451016
2019-04-03,1791999.4117165594,1517096.6069444292,1245738.4889736094,1333605.0680989693
2019-04-04,1790351.880986312,1514724.3083217086,1243794.8750577092,1332845.8532497145
2019-04-05,1790351.8544283956,1514724.3065156937,1243794.903936386,1332845.8565979004
2019-04-08,1799242.228307705,1511748.2618200516,1250575.783577304,1346563.4469337258
2019-04-09,1790276.2563144306,1510987.3347709568,1245176.510931693,1338738.0994270106
2019-04-10,1798033.725359839,1511119.984886804,1250787.2882165138,1348320.2075683677
2019-04-11,1795346.191513766,1510287.4438680708,1247406.5361759162,1337986.589076497
2019-04-12,1796755.9804503438,1492249.7675786356,1247269.70569635,1347097.4606909447
2019-04-15,1794959.2552132548,1490757.5240283234,1246022.4457191576,1345750.3672753824
2019-04-16,1795353.4933064184,1492240.7640270458,1247075.0654672352,1345490.5550449863
2019-04-17,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-04-18,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-04-22,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-04-23,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-04-24,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-04-25,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-04-26,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-04-29,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-04-30,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-01,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-02,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-03,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-06,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-07,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-08,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-09,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-10,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-13,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-14,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-15,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-16,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-17,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-20,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-21,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-22,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-23,1795210.8205978854,1492000.176703571,1246903.4318329697,1345310.1723979013
2019-05-24,1794749.909253613,1491407.9481002078,1246705.3644928904,1344794.0282796873
2019-05-28,1794494.5952048907,1493517.7549335707,1247284.311226101,1347181.0346427932
2019-05-29,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-05-30,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-05-31,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-03,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-04,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-05,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-06,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-07,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-10,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-11,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-12,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-13,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-14,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-17,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-18,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-19,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-20,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-21,1794250.9283670257,1493043.8876260987,1247052.9217754158,1346825.5326757445
2019-06-24,1794319.7224572706,1492883.181004356,1245890.0540538293,1346364.5324182997
2019-06-25,1792975.1767586053,1489881.6767858732,1246179.7302442484,1346498.2664700516
2019-06-26,1792324.3326040856,1490510.258186363,1246422.6656274549,1345483.712550593
2019-06-27,1792941.2195919985,1494751.902425407,1248874.0717666957,1345255.217019845
2019-06-28,1796094.0307194763,1503782.0085067025,1253184.2338234328,1353425.5718179713
2019-07-01,1796849.2304688352,1507988.0966915204,1255292.0862366492,1351525.0594605457
2019-07-02,1798581.646277127,1514545.0311931684,1258258.475558567,1357482.9182852756
2019-07-03,1805519.554485375,1524370.1939052655,1266664.8001231756,1369027.9294750325
2019-07-05,1806421.0137378976,1524755.892269523,1267413.178114494,1372773.1519409367
2019-07-08,1806421.0104980469,1524755.921272755,1267413.1545410156,1372773.1700229645
2019-07-09,1807042.8594788588,1527023.096683979,1269705.964450915,1378665.9636726438
2019-07-10,1805873.5045625907,1527260.029419422,1269076.900929267,1378034.6561596163
2019-07-11,1803314.979520669,1525635.623688221,1271445.766765464,1376284.7233559876
2019-07-12,1809758.4704088704,1533586.5689320564,1278293.4763912198,1383173.291539133
2019-07-15,1813308.322933938,1535615.4725689888,1279102.507256856,1388640.1800239258
2019-07-16,1810691.674522968,1529303.917210102,1270631.7302244238,1381495.3748864746
2019-07-17,1793549.6558362637,1513607.3848080635,1262571.5242622683,1368105.5931564465
2019-07-18,1786817.4451382156,1498837.687057972,1265287.2629645225,1378495.7537761822
2019-07-19,1772586.6400256918,1479839.0426182747,1259982.0523779192,1363985.0786262646
2019-07-22,1771152.1686686105,1478448.8630757332,1263469.4377469532,1363868.8814273968
2019-07-23,1776243.1490439866,1479980.479031086,1266643.466949476,1362682.154111494
2019-07-24,1806683.6524624452,1515776.59730196,1279196.9153060194,1400286.1809612408
2019-07-25,1807539.2388124312,1520504.8816838264,1281773.4209255297,1403060.0422264233
2019-07-26,1812609.8253900465,1530247.5921406746,1284772.812020787,1406797.8317867413
2019-07-29,1825971.7074301904,1546317.976360798,1286119.1821511355,1428278.7680946484
2019-07-30,1814877.513344828,1533671.708553791,1278249.6926322198,1417674.1626754894
2019-07-31,1792934.3762593204,1514739.5758252144,1260219.6874863931,1395845.4269825115
2019-08-01,1787105.4008303334,1506937.1475491524,1260670.5978910034,1395680.1492725506
2019-08-02,1785883.396725739,1502349.298359394,1260367.373476928,1392939.884530653
2019-08-05,1743984.3051912095,1462569.390850544,1224867.8367853507,1359667.0848098889
2019-08-06,1772286.6390343683,1484300.9889569285,1246621.8791059945,1382944.5545250073
2019-08-07,1776611.9787332378,1489444.320095539,1254744.1223563598,1392606.7785564556
2019-08-08,1808527.6211698672,1525936.6433644297,1277068.63642622,1425387.0124374523
2019-08-09,1801382.902721631,1515483.3728604317,1273536.370394481,1421923.6961837902
