Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2016-05-05,17660.7109375,17736.109375,17615.8203125,17664.48046875,81530000
2016-05-06,17740.630859375,17744.5390625,17580.380859375,17650.30078125,80020000
2016-05-09,17705.91015625,17783.16015625,17668.380859375,17743.849609375,85590000
2016-05-10,17928.349609375,17934.609375,17726.66015625,17726.66015625,75790000
2016-05-11,17711.119140625,17919.029296875,17711.05078125,17919.029296875,87390000
2016-05-12,17720.5,17798.189453125,17625.380859375,17711.119140625,88560000
2016-05-13,17535.3203125,17734.740234375,17512.48046875,17711.119140625,86640000
2016-05-16,17710.7109375,17755.80078125,17531.759765625,17531.759765625,88440000
2016-05-17,17529.98046875,17701.4609375,17469.919921875,17701.4609375,103260000
2016-05-18,17526.619140625,17636.220703125,17418.2109375,17501.279296875,79120000
2016-05-19,17435.400390625,17514.16015625,17331.0703125,17514.16015625,95530000
2016-05-20,17500.939453125,17571.75,17437.3203125,17437.3203125,111990000
2016-05-23,17492.9296875,17550.69921875,17480.05078125,17507.0390625,87790000
2016-05-24,17706.05078125,17742.58984375,17525.189453125,17525.189453125,86480000
2016-05-25,17851.509765625,17891.7109375,17735.08984375,17735.08984375,79180000
2016-05-26,17828.2890625,17888.66015625,17803.8203125,17859.51953125,68940000
2016-05-27,17873.220703125,17873.220703125,17824.73046875,17826.849609375,73190000
2016-05-31,17787.19921875,17899.240234375,17724.029296875,17891.5,147390000
2016-06-01,17789.669921875,17809.1796875,17664.7890625,17754.55078125,78530000
2016-06-02,17838.560546875,17838.560546875,17703.55078125,17789.05078125,75560000
2016-06-03,17807.060546875,17833.169921875,17689.6796875,17799.80078125,82270000
2016-06-06,17920.330078125,17949.6796875,17822.810546875,17825.689453125,71870000
2016-06-07,17938.279296875,18003.23046875,17936.220703125,17936.220703125,78750000
2016-06-08,18005.05078125,18016.0,17931.91015625,17931.91015625,71260000
2016-06-09,17985.189453125,18005.220703125,17915.880859375,17969.98046875,69690000
2016-06-10,17865.33984375,17938.8203125,17812.33984375,17938.8203125,90540000
2016-06-13,17732.48046875,17893.279296875,17731.349609375,17830.5,101690000
2016-06-14,17674.8203125,17733.919921875,17595.7890625,17710.76953125,93740000
2016-06-15,17640.169921875,17762.9609375,17629.009765625,17703.650390625,94130000
2016-06-16,17733.099609375,17754.91015625,17471.2890625,17602.23046875,91950000
2016-06-17,17675.16015625,17733.439453125,17602.779296875,17733.439453125,248680000
2016-06-20,17804.869140625,17946.359375,17736.869140625,17736.869140625,99380000
2016-06-21,17829.73046875,17877.83984375,17799.80078125,17827.330078125,85130000
2016-06-22,17780.830078125,17920.16015625,17770.359375,17832.669921875,89440000
2016-06-23,18011.0703125,18011.0703125,17844.109375,17844.109375,98070000
2016-06-24,17400.75,17946.630859375,17356.33984375,17946.630859375,239000000
2016-06-27,17140.240234375,17355.2109375,17063.080078125,17355.2109375,138740000
2016-06-28,17409.720703125,17409.720703125,17190.509765625,17190.509765625,112190000
2016-06-29,17694.6796875,17704.509765625,17456.01953125,17456.01953125,106380000
2016-06-30,17929.990234375,17930.609375,17711.80078125,17712.759765625,133030000
2016-07-01,17949.369140625,18002.380859375,17916.91015625,17924.240234375,82160000
2016-07-05,17840.619140625,17904.44921875,17785.279296875,17904.44921875,103650000
2016-07-06,17918.619140625,17926.91015625,17713.44921875,17807.470703125,93000000
2016-07-07,17895.880859375,17984.94921875,17816.650390625,17924.240234375,81570000
2016-07-08,18146.740234375,18166.76953125,17971.220703125,17971.220703125,93460000
2016-07-11,18226.9296875,18283.900390625,18161.529296875,18161.529296875,80880000
2016-07-12,18347.669921875,18371.94921875,18259.119140625,18259.119140625,90170000
2016-07-13,18372.119140625,18390.16015625,18315.759765625,18356.779296875,80920000
2016-07-14,18506.41015625,18537.5703125,18414.30078125,18414.30078125,87050000
2016-07-15,18516.55078125,18557.4296875,18471.619140625,18508.880859375,123690000
2016-07-18,18533.05078125,18556.130859375,18489.83984375,18521.55078125,75540000
2016-07-19,18559.009765625,18562.529296875,18495.109375,18503.119140625,85840000
2016-07-20,18595.029296875,18622.009765625,18555.650390625,18582.69921875,93230000
2016-07-21,18517.23046875,18590.439453125,18469.669921875,18589.9609375,86800000
2016-07-22,18570.849609375,18571.30078125,18491.58984375,18524.150390625,87710000
2016-07-25,18493.060546875,18555.689453125,18452.619140625,18554.490234375,76810000
2016-07-26,18473.75,18522.470703125,18387.220703125,18497.369140625,85370000
2016-07-27,18472.169921875,18542.390625,18430.939453125,18473.26953125,111370000
2016-07-28,18456.349609375,18483.259765625,18368.8203125,18461.009765625,85750000
2016-07-29,18432.240234375,18466.55078125,18371.119140625,18442.51953125,111550000
2016-08-01,18404.509765625,18467.029296875,18355.75,18434.5,83470000
2016-08-02,18313.76953125,18403.650390625,18247.7890625,18401.150390625,89680000
2016-08-03,18355.0,18355.0,18283.23046875,18313.080078125,78550000
2016-08-04,18352.05078125,18397.869140625,18325.169921875,18351.4296875,64500000
2016-08-05,18543.529296875,18543.529296875,18402.80078125,18402.80078125,92420000
2016-08-08,18529.2890625,18569.310546875,18502.029296875,18541.890625,71810000
2016-08-09,18533.05078125,18585.3203125,18507.75,18538.05078125,60090000
2016-08-10,18495.66015625,18561.75,18468.779296875,18541.48046875,62780000
2016-08-11,18613.51953125,18638.33984375,18519.080078125,18519.080078125,71470000
2016-08-12,18576.470703125,18606.060546875,18535.859375,18595.650390625,61580000
2016-08-15,18636.05078125,18722.609375,18559.9296875,18588.58984375,62350000
2016-08-16,18552.01953125,18614.859375,18550.650390625,18614.48046875,67570000
2016-08-17,18573.939453125,18582.349609375,18468.6796875,18537.08984375,71000000
2016-08-18,18597.69921875,18600.8203125,18533.2890625,18566.5390625,70740000
2016-08-19,18552.5703125,18585.169921875,18491.240234375,18585.169921875,93170000
2016-08-22,18529.419921875,18570.919921875,18466.859375,18535.859375,73450000
2016-08-23,18547.30078125,18631.599609375,18545.51953125,18568.939453125,73990000
2016-08-24,18481.48046875,18539.150390625,18448.26953125,18537.5,72270000
2016-08-25,18448.41015625,18497.6796875,18431.4609375,18471.2109375,64480000
2016-08-26,18395.400390625,18572.08984375,18335.33984375,18467.919921875,78730000
2016-08-29,18502.990234375,18523.08984375,18419.919921875,18421.2890625,64480000
2016-08-30,18454.30078125,18514.2890625,18408.51953125,18491.279296875,68920000
2016-08-31,18400.880859375,18439.6796875,18333.560546875,18436.69921875,98250000
2016-09-01,18419.30078125,18430.05078125,18295.48046875,18396.5703125,74780000
2016-09-02,18491.9609375,18544.759765625,18439.099609375,18466.009765625,74350000
2016-09-06,18538.119140625,18551.5390625,18450.3203125,18493.400390625,83710000
2016-09-07,18526.140625,18536.890625,18474.76953125,18527.7109375,67570000
2016-09-08,18479.91015625,18506.240234375,18446.689453125,18486.689453125,79060000
2016-09-09,18085.44921875,18404.169921875,18085.44921875,18404.169921875,120670000
2016-09-12,18325.0703125,18358.689453125,17994.83984375,18028.94921875,103260000
2016-09-13,18066.75,18262.990234375,18028.060546875,18262.990234375,102830000
2016-09-14,18034.76953125,18163.48046875,17992.2109375,18073.390625,103360000
2016-09-15,18212.48046875,18250.109375,18015.490234375,18024.91015625,99550000
2016-09-16,18123.80078125,18217.2109375,18070.2109375,18217.2109375,278510000
2016-09-19,18120.169921875,18254.880859375,18093.05078125,18154.8203125,78090000
2016-09-20,18129.9609375,18227.2109375,18128.80078125,18175.359375,72450000
2016-09-21,18293.69921875,18307.4296875,18121.5703125,18164.9609375,94090000
2016-09-22,18392.4609375,18449.880859375,18343.759765625,18343.759765625,73030000
2016-09-23,18261.44921875,18383.759765625,18254.83984375,18377.359375,87170000
2016-09-26,18094.830078125,18217.759765625,18083.3203125,18217.759765625,95510000
2016-09-27,18228.30078125,18238.099609375,18052.16015625,18099.2109375,84130000
2016-09-28,18339.240234375,18349.859375,18179.33984375,18240.220703125,97650000
2016-09-29,18143.44921875,18366.23046875,18091.640625,18322.880859375,95880000
2016-09-30,18308.150390625,18369.619140625,18181.80078125,18181.80078125,135470000
