,0
142,1131553.7197423107
143,1129687.3189049044
144,1141677.9884974908
145,1138463.8033859837
146,1155686.3112622134
147,1158222.410029064
148,1156451.4978033653
149,1152388.6025935486
150,1167242.4269085685
151,1163437.0007702138
152,1156146.6832445478
153,1167419.3693242616
154,1175694.1990146474
155,1161715.3020901394
156,1137789.0221232297
157,1143896.0552452712
158,1152736.8052649605
159,1161223.690605205
160,1180672.6809416297
161,1180048.661103865
162,1182627.0089973605
163,1185861.0948291386
164,1193322.2142286757
165,1186402.0652821325
166,1177695.8394432655
167,1157548.9248594916
168,1152965.510375323
169,1159017.4420856386
170,1174020.633413631
171,1179431.72378273
172,1185834.772664662
173,1197631.1705225937
174,1197254.7982238468
175,1208882.8605215135
176,1214070.0017658062
177,1234438.8447165438
178,1237788.9343212848
179,1243136.3579922367
180,1234418.8261543866
181,1244042.3236594775
182,1226434.3106605918
183,1219568.9549078022
184,1212096.183149363
185,1225840.4097294759
186,1232899.145141268
187,1228987.3179960574
188,1203110.1029765208
189,1197764.1334593077
190,1215010.9318211218
191,1228591.9698309908
192,1236104.0510587012
193,1242226.9137393353
194,1256183.9296084922
195,1257330.827024525
196,1255450.6080708955
197,1276256.0116389482
198,1281620.4732164717
199,1269233.8395007448
200,1282511.2757067082
201,1274689.778505875
202,1250272.3929955468
203,1267464.6632376192
204,1246870.0229675858
205,1232584.6672326485
206,1233314.3679080745
207,1222611.9092680067
208,1249967.3260377108
209,1217187.3918528673
210,1227828.4908110704
211,1229116.1826181326
212,1235429.9780039957
213,1264740.4976199237
214,1263672.1125536538
215,1289141.0592079186
216,1288598.7945637316
217,1298100.5287581543
218,1298031.936896544
219,1307228.299685792
220,1321147.2508867127
221,1324239.8797478387
222,1320382.2695668372
223,1307356.5109148182
224,1305950.974780986
225,1320147.1508540038
226,1317908.903324283
227,1324273.4602611372
228,1305125.1988245097
229,1306900.753238284
230,1321480.879762094
231,1314724.26920773
232,1301941.1448131353
233,1303016.8692206207
234,1310099.7490189679
235,1297623.213306649
236,1302821.2196312144
237,1308829.1085636152
238,1314488.9961120668
239,1322548.4807396315
240,1313630.1467401225
241,1319944.50280808
242,1300096.3735133004
243,1299370.1081834713
244,1313005.0335583244
245,1319854.3708560907
246,1323970.7625302044
247,1329074.693790982
248,1334845.705693942
249,1334346.1422960346
250,1332724.4117309481
251,1317229.3603742244
252,1345104.0488133389
253,1350825.0008894668
254,1352744.3518273525
255,1362453.1888487188
256,1363339.944972711
257,1361382.0917195284
258,1359025.630462513
259,1364495.9289672251
260,1368380.3318561977
261,1356196.910836186
262,1373307.0430379815
263,1358054.1905618939
264,1326132.5283661385
265,1302571.0320040944
266,1307633.5649542324
267,1303320.2209652292
268,1318043.8951402395
269,1303052.7672684235
270,1291920.2103323438
271,1316238.5036690352
272,1320580.0726706947
273,1316216.2745464123
274,1279746.2012344694
275,1276785.9345762474
276,1264697.776244985
277,1288738.2389935486
278,1284434.1135593147
279,1295607.6822767698
280,1289138.7712576287
281,1308626.3283354333
282,1318294.6089084418
283,1330811.0913586149
284,1329659.5818339598
285,1332948.8999768898
286,1321706.791835701
287,1334834.0826771173
288,1327742.3745005766
289,1329141.5361431546
290,1338805.8253860055
291,1337619.1592897146
292,1338668.309884279
293,1340435.6306061896
294,1357260.2275848023
295,1353758.252553159
296,1349511.2573368873
297,1352946.2397339877
298,1362776.172445152
299,1364046.8316964468
300,1368518.6472937888
301,1375481.1406614664
302,1377017.7609165055
303,1383463.5297857781
304,1372903.7124965372
305,1382403.0901262315
306,1394078.0388590954
307,1390045.443031291
308,1393977.1213589315
309,1397119.509713599
310,1398962.7064355058
311,1400075.0739494078
312,1392952.1628311526
313,1405587.1504596735
314,1411850.7361955757
315,1413410.1623635548
316,1404085.6815316384
317,1407191.4483637852
318,1414399.679859969
319,1412757.941833379
320,1410491.1038454184
321,1423789.0136548309
322,1423015.7521760624
323,1406220.790847415
324,1416564.6365474074
325,1414075.6695069652
326,1414535.9641002119
327,1419465.0967806207
328,1429559.6442590414
329,1424431.2504191296
330,1396501.3424612102
331,1411576.9609627533
332,1427441.2720081974
333,1403624.4311161984
334,1421552.088298751
335,1393259.229155934
336,1382735.049597536
337,1334799.3694673053
338,1313662.7540136096
339,1366786.182667601
340,1371285.6082791714
341,1394414.5942783328
342,1382363.2126428415
343,1355462.819234293
344,1353821.4791613969
345,1342050.4984948968
346,1331610.3622319642
347,1282204.9826057737
348,1302885.5469909164
349,1287246.9245774846
350,1289646.5526351016
351,1278865.564572515
352,1315354.0842199356
353,1296735.1941187226
354,1278815.643921316
355,1310310.5609795144
356,1309092.5786198173
357,1269034.1004203293
358,1257463.7712071594
359,1271123.1858320753
360,1270245.166067409
361,1304020.154973753
362,1309257.7536607722
363,1301126.1193172266
364,1328107.5894416086
365,1323815.1208583333
366,1327812.8594325283
367,1332144.2513234378
368,1331896.0723656134
369,1305393.213568831
370,1307331.0245474007
371,1283713.3028824655
372,1281264.6117106092
373,1280737.5581706618
374,1240600.6670158023
375,1226978.7068534624
376,1222263.2356139089
377,1215552.6735928298
378,1222933.6635194127
379,1257865.4889606794
380,1277498.5474844282
381,1289749.4948473726
382,1293017.363658228
383,1313831.7278128064
384,1316796.50335035
385,1315954.257916815
386,1280048.1439074469
387,1287994.82653019
388,1295665.0000801748
389,1280734.4747437858
390,1312116.3965910098
391,1321340.3387450213
392,1330535.0165035024
393,1328814.820854822
394,1319918.6106153922
395,1316587.3776542675
396,1322074.0141628177
397,1347895.3817680182
398,1333419.0859220598
399,1334951.0131376542
400,1336790.2495714824
401,1335376.2546038867
402,1348469.5181454087
403,1345931.0820411807
404,1311231.647640155
405,1305025.2081394717
406,1303335.0763667275
407,1303104.300812147
408,1316122.7572887086
409,1319117.9822208623
410,1300829.1402368192
411,1294206.4158483238
412,1289579.9475815299
413,1267872.0315864226
414,1271434.3660102463
415,1265098.300302872
416,1288574.0199639658
417,1271023.196480042
418,1268788.8960307701
419,1303825.5197080232
420,1314394.3272443195
421,1333518.4044907682
422,1318141.1118208417
423,1324571.7527588282
424,1321521.416581096
425,1332770.4152115644
426,1343457.7748000964
427,1338766.2428207933
428,1341716.9389000852
429,1343272.085077219
430,1343583.2388047534
431,1362282.5202763444
432,1363940.1554541646
433,1362973.4374253235
434,1349319.1415426005
435,1375731.569576558
436,1369135.326607276
437,1380861.3697737353
438,1379843.632307757
439,1377482.620719691
440,1388002.1165069644
441,1379878.7622655565
442,1408836.4412689651
443,1411661.2734645884
444,1413662.8735588863
445,1423437.3225026652
446,1425635.7823871626
447,1427248.245673417
448,1434403.0014866344
449,1433131.955441329
450,1429069.7543946195
451,1439339.1915198453
452,1412733.9502944776
453,1433907.7832942281
454,1441097.6698359319
455,1440855.4223911217
456,1451774.8027699573
457,1454600.9446505294
458,1444171.9376711382
459,1444147.5572196299
460,1445727.3731756862
461,1443813.826172876
462,1451882.3083955448
463,1456452.0912355976
464,1487173.0710302251
465,1487373.6438285883
466,1480701.5831401658
467,1471189.9938252652
468,1470925.0557647836
469,1464628.0843131414
470,1449073.246526491
471,1444707.0634183255
472,1425380.480233771
473,1425908.4900367802
474,1448447.7672906397
475,1453884.239458884
476,1451606.866722577
477,1430103.1488053605
478,1452543.626394523
479,1438483.395583254
480,1435629.1632987666
481,1429557.1753396064
482,1461456.3385786447
483,1477421.2808974315
484,1481604.6205727216
485,1480484.4040779092
486,1480432.2052404704
487,1475914.3713664536
488,1473909.5675764943
489,1477357.5400651467
490,1479065.6111429501
491,1482609.2403345592
492,1472295.042248865
493,1475014.346471235
494,1471969.4499031382
495,1466822.7676359399
496,1476623.679757951
497,1485482.1556199223
498,1487680.5270285427
499,1483760.6999349087
500,1488240.4659396259
501,1491663.3137552934
502,1490884.917651344
503,1490298.4319159272
504,1507440.460902911
505,1506272.956451462
506,1510626.8998714783
507,1517771.2380858583
508,1514171.131708731
509,1512862.2288339876
510,1517155.4961774256
511,1529555.6497416953
512,1524465.5607730877
513,1537258.1705522046
514,1547860.4093743416
515,1547534.8639538032
516,1545750.896794806
517,1550196.6769871234
518,1565687.7579625018
519,1574364.7450503267
520,1568298.775421766
521,1572949.6087921902
522,1548860.0616012341
523,1561228.227301499
524,1584400.2520949019
525,1586427.2001835865
526,1591792.2380115646
527,1595146.7024350765
528,1602532.5529848493
529,1616540.2473466846
530,1613797.8635816392
531,1615377.9075672808
532,1617835.268500723
533,1615663.5574204486
534,1608897.4104383232
535,1618446.8797116822
536,1624367.7075652347
537,1632063.7343804953
538,1601353.5932210889
539,1585834.7403643953
540,1583455.6837342712
541,1596189.5424046635
542,1609682.9383414185
543,1586945.7482180062
544,1590714.752342855
545,1623516.7686915773
546,1613168.0491743113
547,1600426.8790368885
548,1618706.4652495265
549,1624221.9117791422
550,1598251.1347529148
551,1601965.924152866
552,1591013.351665899
553,1573674.5837580762
554,1536434.665784457
555,1552157.255458237
556,1558494.0528257769
557,1582519.0882066973
558,1577414.5606090953
559,1587094.8058303923
560,1596101.9241801202
561,1606186.9911247944
562,1600366.524654961
563,1611522.6328924263
564,1620323.9280184526
565,1619149.072863287
566,1626489.5637681452
567,1630416.7233572407
568,1633771.032338601
569,1636044.6194961455
570,1633766.6365834286
571,1629990.4079853822
572,1625691.8393251356
573,1614755.3568331632
574,1612286.070481998
575,1614551.616702757
576,1627107.2568120537
577,1611927.3333373389
578,1620093.4799165272
579,1638014.3704962865
580,1658116.4385105192
581,1652558.1015564085
582,1664724.6259513902
583,1677213.9221319729
584,1693091.0680408552
585,1698822.2750563326
586,1703481.5005174447
587,1700214.9078773397
588,1684392.135754825
589,1669989.7448650554
590,1677589.9900610724
591,1685068.2763002478
592,1700009.8012866892
593,1672251.7868936372
594,1685492.5276038505
595,1674314.3548764102
596,1664095.4810192438
597,1655100.285208267
598,1664839.5644426583
599,1671105.6251521753
600,1656740.2322326757
601,1641730.2537597998
602,1636886.1974742645
603,1642900.7423279004
604,1638877.203565961
605,1641241.9353717887
606,1656139.6571897008
607,1622029.7867801988
