,0
165,972710.6438682637
166,995210.4139915323
167,1005598.2401494207
168,1024590.1518832301
169,1037763.1183740564
170,1046125.3453041138
171,1018616.0562938489
172,1007323.5019522805
173,982664.1935524865
174,989139.2588915473
175,980399.1572795394
176,995139.0618976989
177,1011049.9375480326
178,1021079.1911154304
179,1021687.4885460618
180,1021657.9860537497
181,1035444.5896575839
182,1039844.5365830299
183,1036144.0667921765
184,1055024.9373859651
185,1066420.2595324214
186,1078752.368950882
187,1076832.1727453375
188,1082148.167945749
189,1081948.3521291532
190,1081808.0140941371
191,1074317.9281473095
192,1068755.8404674553
193,1077229.0684648834
194,1063172.4751686004
195,1072752.3644150877
196,1084622.8775494385
197,1095666.1894404402
198,1104909.8054915243
199,1098937.287627557
200,1102303.7235871863
201,1122035.5438530298
202,1122924.2026613369
203,1139106.1564051406
204,1141211.0558425137
205,1139055.1739308336
206,1152267.8294125828
207,1156357.3084968226
208,1179484.6693650119
209,1191511.4743911182
210,1173427.0089298398
211,1169206.31724375
212,1177370.919167103
213,1173545.7517750254
214,1233183.6694523212
215,1232364.4531463664
216,1224354.4811723297
217,1191660.1187518372
218,1180905.2958010996
219,1262618.5733086185
220,1219110.449247853
221,1246888.298085362
222,1201244.646492602
223,1184365.040391896
224,1125871.5713676405
225,1109015.860760378
226,1169903.6441822916
227,1161949.4613551854
228,1187033.8628470174
229,1170499.5236496218
230,1128794.8739095933
231,1112829.405770635
232,1096864.0218261555
233,1092718.559689867
234,1065920.0676862048
235,1095127.8062125135
236,1081712.165098837
237,1091161.8482169157
238,1082523.4262294623
239,1125889.7067337078
240,1108048.9513041507
241,1083479.1249781358
242,1117669.8446809237
243,1127569.3089661046
244,1091156.8537083257
245,1060470.1376107684
246,1068006.0505249745
247,1067461.515851178
248,1104699.5189733014
249,1109984.2367184341
250,1113280.599703805
251,1159495.4043274291
252,1161436.8737009265
253,1173494.3060964777
254,1176238.6755208704
255,1166350.913334433
256,1137224.594934193
257,1145507.0654512767
258,1118063.8746420054
259,1133271.180739355
260,1128158.3017096256
261,1078439.6534747377
262,1067819.569609171
263,1085942.0936116145
264,1089857.1598143368
265,1088205.4450598056
266,1128438.121520431
267,1135962.8560735437
268,1143302.0903201876
269,1133803.0600579903
270,1148580.005518592
271,1158196.0221677492
272,1150001.990028464
273,1111994.9821664498
274,1106340.806521615
275,1135128.4424627372
276,1116378.789521495
277,1135864.47134412
278,1176010.1748447616
279,1184558.5244875366
280,1173990.5289856328
281,1169349.0851304547
282,1155384.8418270182
283,1132694.900676191
284,1145356.4852977237
285,1145295.2321502983
286,1167510.2242708784
287,1159887.8373215252
288,1163813.8329411002
289,1168366.6398474828
290,1163544.1553864556
291,1136366.5753482792
292,1134578.4441937082
293,1122898.8520076196
294,1130021.979274974
295,1141840.7753819202
296,1144315.5530687857
297,1131742.4992179498
298,1140831.8013123118
299,1139612.0499184912
300,1117793.1915696817
301,1126019.880374983
302,1129763.4932018912
303,1151514.6037800305
304,1126103.0952145017
305,1133200.133925952
306,1171686.9503762925
307,1201573.4855400992
308,1209196.940878311
